"Gene","logFC","AveExpr","t","PValue","FDR","B","Test"
"B3GNT2",0.205125454461282,5.18642311480021,0.711648137703072,0.47675611223501,0.997173487616043,-5.18497760504457,"Old_vs_Young_Main_Effect"
"RASGRP1",-0.127677231477674,3.22260760693837,-0.251920535012167,0.801125384725251,0.997173487616043,-5.18503560435653,"Old_vs_Young_Main_Effect"
"PIGV",-0.147146603790411,3.82949765081544,-0.476529395632478,0.633743321479808,0.997173487616043,-5.18507596774208,"Old_vs_Young_Main_Effect"
"SBNO1",0.16529217941986,5.35281391735693,0.585040010044466,0.55857919755544,0.997173487616043,-5.18507985866424,"Old_vs_Young_Main_Effect"
"ZNF581",0.0455460219377648,4.42367404564897,0.115102660493204,0.90837397272288,0.997173487616043,-5.18508301716019,"Old_vs_Young_Main_Effect"
"TRMT9B",-0.0536701778719672,3.15552785946666,-0.112910142492948,0.910111819632834,0.997173487616043,-5.18512681319719,"Old_vs_Young_Main_Effect"
"ADISSP",0.157874541717193,4.86747666613206,0.445291723192481,0.65615158057071,0.997173487616043,-5.1852289463679,"Old_vs_Young_Main_Effect"
"SLIT2",0.0708846956390276,3.23475925175262,0.1350401269771,0.892592169252963,0.997173487616043,-5.18527875739343,"Old_vs_Young_Main_Effect"
"SETD9",0.115025312703518,4.03157286810533,0.353850782316892,0.723483709182881,0.997173487616043,-5.18533432243691,"Old_vs_Young_Main_Effect"
"PIK3R5",0.0715973899548946,3.54465067719565,0.129700590208206,0.896814853503996,0.997173487616043,-5.18549960244886,"Old_vs_Young_Main_Effect"
"THAP7-AS1",0.117467845053582,3.37179600694985,0.298870944148308,0.765065986159339,0.997173487616043,-5.18552411151045,"Old_vs_Young_Main_Effect"
"GNMT",-0.0239288549275661,2.58234078092517,-0.0447489962080045,0.96431133140291,0.997173487616043,-5.18553787385534,"Old_vs_Young_Main_Effect"
"ARSB",0.133692269544205,3.63765496148395,0.359048942769491,0.719592004350831,0.997173487616043,-5.18554728268095,"Old_vs_Young_Main_Effect"
"PMVK",0.197956522866053,5.63381062160418,0.692892971511094,0.488447889020457,0.997173487616043,-5.18561956397871,"Old_vs_Young_Main_Effect"
"SLC18B1",0.108416215854407,3.87058999239482,0.269633490750381,0.787466839352199,0.997173487616043,-5.18571545524704,"Old_vs_Young_Main_Effect"
"TPD52",0.207830396094428,5.1084805272195,0.595205259074688,0.551765845375324,0.997173487616043,-5.18578874967773,"Old_vs_Young_Main_Effect"
"ATP2C2",-0.25782725600145,3.71893332339484,-0.594990853390531,0.551909129953457,0.997173487616043,-5.18588820066653,"Old_vs_Young_Main_Effect"
"CYTIP",0.122764875491716,4.30965731175246,0.238635282941236,0.811410031462978,0.997173487616043,-5.18589063058782,"Old_vs_Young_Main_Effect"
"CACNB4",0.0168432664187206,3.12241604918484,0.0325812422206028,0.974011404443424,0.997217999365598,-5.18590640436847,"Old_vs_Young_Main_Effect"
"WASF3",0.249903399571042,3.1476489356092,0.579217230902927,0.562500311131719,0.997173487616043,-5.18594628738723,"Old_vs_Young_Main_Effect"
"IQCH-AS1",0.153958095471123,3.51095702710853,0.424174977257683,0.671478565263792,0.997173487616043,-5.18594782986931,"Old_vs_Young_Main_Effect"
"ZZZ3",0.0994927248414889,4.44367613756707,0.273660770630494,0.784370325787308,0.997173487616043,-5.1859854822993,"Old_vs_Young_Main_Effect"
"AMPD2",-0.102842732043276,4.00253940767032,-0.301182377191832,0.763303124287891,0.997173487616043,-5.18603965850322,"Old_vs_Young_Main_Effect"
"SERINC5",-0.19144955383743,5.10504712099975,-0.656489669810828,0.511575924550788,0.997173487616043,-5.18609939471011,"Old_vs_Young_Main_Effect"
"EPS15",0.182404511446705,5.71605852214589,0.617487829145728,0.536975193848023,0.997173487616043,-5.18614563714529,"Old_vs_Young_Main_Effect"
"KBTBD7",0.152623128398543,3.85928739143252,0.458159276404609,0.646882047788062,0.997173487616043,-5.18623053273162,"Old_vs_Young_Main_Effect"
"TSC22D2",-0.182530265823573,5.05698155012529,-0.589043373504104,0.5558910281333,0.997173487616043,-5.18628482707751,"Old_vs_Young_Main_Effect"
"FANCD2",-0.108273635439891,3.29209668731052,-0.256183043560329,0.797832808723604,0.997173487616043,-5.18628559275185,"Old_vs_Young_Main_Effect"
"SLC25A25-AS1",-0.0428719956247453,2.9805331918275,-0.0982522644598891,0.921740692022444,0.997173487616043,-5.18629772264203,"Old_vs_Young_Main_Effect"
"DNAJB4",-0.181479204533888,4.71512271611238,-0.420466830774269,0.674184415948707,0.997173487616043,-5.18639284281359,"Old_vs_Young_Main_Effect"
