"User ID","Value","Gene Name","Species"
"NNMT","","nicotinamide N-methyltransferase(NNMT)","Homo sapiens"
"NOP2","","NOP2 nucleolar protein(NOP2)","Homo sapiens"
"NPIPB11","","nuclear pore complex interacting protein family member B11(NPIPB11)","Homo sapiens"
"NPIPB4","","nuclear pore complex interacting protein family member B4(NPIPB4)","Homo sapiens"
"NPIPB5","","nuclear pore complex interacting protein family member B5(NPIPB5)","Homo sapiens"
"NT5C3B","","5'-nucleotidase, cytosolic IIIB(NT5C3B)","Homo sapiens"
"NTM","","neurotrimin(NTM)","Homo sapiens"
"NTS","","neurotensin(NTS)","Homo sapiens"
"NUDT2","","nudix hydrolase 2(NUDT2)","Homo sapiens"
"NUDT4","","nudix hydrolase 4(NUDT4)","Homo sapiens"
"NUP43","","nucleoporin 43(NUP43)","Homo sapiens"
"NXT1","","nuclear transport factor 2 like export factor 1(NXT1)","Homo sapiens"
"ODC1","","ornithine decarboxylase 1(ODC1)","Homo sapiens"
"OGFOD2","","2-oxoglutarate and iron dependent oxygenase domain containing 2(OGFOD2)","Homo sapiens"
"OSBPL8","","oxysterol binding protein like 8(OSBPL8)","Homo sapiens"
"OTUD6B","","OTU deubiquitinase 6B(OTUD6B)","Homo sapiens"
"OXNAD1","","oxidoreductase NAD binding domain containing 1(OXNAD1)","Homo sapiens"
"PACS1","","phosphofurin acidic cluster sorting protein 1(PACS1)","Homo sapiens"
"PACSIN2","","protein kinase C and casein kinase substrate in neurons 2(PACSIN2)","Homo sapiens"
"PAICS","","phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase(PAICS)","Homo sapiens"
"PCBP4","","poly(rC) binding protein 4(PCBP4)","Homo sapiens"
"PCSK2","","proprotein convertase subtilisin/kexin type 2(PCSK2)","Homo sapiens"
"PCSK7","","proprotein convertase subtilisin/kexin type 7(PCSK7)","Homo sapiens"
"PCYOX1","","prenylcysteine oxidase 1(PCYOX1)","Homo sapiens"
